MOI ,virus,dilution ,plaque count
1.00E-06,Phi3t lytic,1.00E-02,TNTC
1.00E-06,Phi3t lytic,1.00E-03,TNTC
1.00E-06,Phi3t lytic,1.00E-04,529
1.00E-06,Phi3t lytic,1.00E-05,80
1.00E-06,Phi3t lytic,1.00E-06,2
1.00E-05,Phi3t,1.00E-02,TNTC
1.00E-05,Phi3t,1.00E-03,TNTC
1.00E-05,Phi3t,1.00E-04,TNTC
1.00E-05,Phi3t,1.00E-05,105
1.00E-05,Phi3t,1.00E-06,4
1.00E-05,Phi3t,1.00E-07,0
1.00E-04,Phi3t,1.00E-02,TNTC
1.00E-04,Phi3t,1.00E-03,TNTC
1.00E-04,Phi3t,1.00E-04,TNTC
1.00E-04,Phi3t,1.00E-05,99
1.00E-04,Phi3t,1.00E-06,1
1.00E-04,Phi3t,1.00E-07,0
1.00E-05,Phi3t,1.00E-02,TNTC
1.00E-05,Phi3t,1.00E-03,TNTC
1.00E-05,Phi3t,1.00E-04,TNTC
1.00E-05,Phi3t,1.00E-05,TNTC
1.00E-05,Phi3t,1.00E-06,61
1.00E-05,Phi3t,1.00E-07,9
1.00E-04,Phi3t lytic,1.00E-02,TNTC
1.00E-04,Phi3t lytic,1.00E-03,203
1.00E-04,Phi3t lytic,1.00E-04,22
1.00E-04,Phi3t lytic,1.00E-05,1
1.00E-04,Phi3t lytic,1.00E-06,1
1.00E-04,Phi3t lytic,1.00E-07,0
1.00E-05,Phi3t lytic,1.00E-02,TNTC
1.00E-05,Phi3t lytic,1.00E-03,TNTC
1.00E-05,Phi3t lytic,1.00E-04,34
1.00E-05,Phi3t lytic,1.00E-05,4
1.00E-05,Phi3t lytic,1.00E-06,1
1.00E-05,Phi3t lytic,1.00E-07,0
1.00E+00,Phi3t lytic,1.00E-03,TNTC
1.00E+00,Phi3t lytic,1.00E-04,83
1.00E+00,Phi3t lytic,1.00E-05,15
1.00E+00,Phi3t lytic,1.00E-06,0
1.00E+00,Phi3t lytic,1.00E-07,0
1.00E-01,Phi3t lytic,1.00E-03,TNTC
1.00E-01,Phi3t lytic,1.00E-04,123
1.00E-01,Phi3t lytic,1.00E-05,109
1.00E-01,Phi3t lytic,1.00E-06,43
1.00E-01,Phi3t lytic,1.00E-07,30
1.00E-05,Phi3t lytic,1.00E-03,TNTC
1.00E-05,Phi3t lytic,1.00E-04,TNTC
1.00E-05,Phi3t lytic,1.00E-05,134
1.00E-05,Phi3t lytic,1.00E-06,9
1.00E-05,Phi3t lytic,1.00E-07,4
1.00E-06,Phi3t lytic,1.00E-03,TNTC
1.00E-06,Phi3t lytic,1.00E-04,TNTC
1.00E-06,Phi3t lytic,1.00E-05,125
1.00E-06,Phi3t lytic,1.00E-06,44
1.00E-06,Phi3t lytic,1.00E-07,30
1.00E-03,Phi3t,1.00E-03,TNTC
1.00E-03,Phi3t,1.00E-04,TNTC
1.00E-03,Phi3t,1.00E-05,TNTC
1.00E-03,Phi3t,1.00E-06,104
1.00E-03,Phi3t,1.00E-07,71
1.00E-02,Phi3t,1.00E-03,TNTC
1.00E-02,Phi3t,1.00E-04,TNTC
1.00E-02,Phi3t,1.00E-05,TNTC
1.00E-02,Phi3t,1.00E-06,216
1.00E-02,Phi3t,1.00E-07,81
1.00E-01,Phi3t,1.00E-03,TNTC
1.00E-01,Phi3t,1.00E-04,TNTC
1.00E-01,Phi3t,1.00E-05,TNTC
1.00E-01,Phi3t,1.00E-06,152
1.00E-01,Phi3t,1.00E-07,118
1.00E+00,Phi3t,1.00E-03,TNTC
1.00E+00,Phi3t,1.00E-04,TNTC
1.00E+00,Phi3t,1.00E-05,TNTC
1.00E+00,Phi3t,1.00E-06,148
1.00E+00,Phi3t,1.00E-07,129
